Date,WTFESY
12/08/2010,290
19/08/2010,292
26/08/2010,290
2/09/2010,296
9/09/2010,295
16/09/2010,305
23/09/2010,315
30/09/2010,295
7/10/2010,300
14/10/2010,295
21/10/2010,295
28/10/2010,295
4/11/2010,275
11/11/2010,265
18/11/2010,260
25/11/2010,245
2/12/2010,250
9/12/2010,270
16/12/2010,255
23/12/2010,256.25
30/12/2010,257.5
6/01/2011,258.75
13/01/2011,260
20/01/2011,235
27/01/2011,250
3/02/2011,250
10/02/2011,250
17/02/2011,250
24/02/2011,250
3/03/2011,250
10/03/2011,250
17/03/2011,250
24/03/2011,250
31/03/2011,255
7/04/2011,255
14/04/2011,260
21/04/2011,258.3333333
28/04/2011,256.6666667
5/05/2011,255
12/05/2011,265
19/05/2011,255
26/05/2011,255
2/06/2011,255
9/06/2011,255
16/06/2011,253
23/06/2011,253
30/06/2011,250
7/07/2011,245
14/07/2011,247
21/07/2011,240
28/07/2011,238
4/08/2011,242
11/08/2011,245
18/08/2011,244
25/08/2011,241
1/09/2011,241
8/09/2011,253
15/09/2011,245
22/09/2011,245
29/09/2011,238
6/10/2011,230
13/10/2011,232
20/10/2011,235
27/10/2011,228
3/11/2011,231
10/11/2011,228
17/11/2011,228
24/11/2011,223
1/12/2011,218
8/12/2011,208
15/12/2011,195
22/12/2011,199.25
29/12/2011,203.5
5/01/2012,207.75
12/01/2012,212
19/01/2012,213
26/01/2012,213
2/02/2012,210
9/02/2012,212
16/02/2012,217
23/02/2012,214
1/03/2012,210
8/03/2012,210
15/03/2012,208
22/03/2012,209
29/03/2012,210
5/04/2012,210
12/04/2012,209
19/04/2012,209
26/04/2012,210
3/05/2012,212
10/05/2012,215
17/05/2012,217
24/05/2012,235
31/05/2012,229
7/06/2012,240
14/06/2012,255
21/06/2012,252
28/06/2012,260
5/07/2012,275
12/07/2012,275
19/07/2012,285
26/07/2012,310
2/08/2012,290
9/08/2012,305
16/08/2012,300
23/08/2012,302
30/08/2012,302
6/09/2012,312
13/09/2012,307
20/09/2012,310
27/09/2012,312
4/10/2012,307
11/10/2012,302
18/10/2012,302
25/10/2012,296
1/11/2012,312
8/11/2012,309
15/11/2012,309
22/11/2012,302
29/11/2012,304
6/12/2012,309
13/12/2012,312
20/12/2012,306
27/12/2012,305.3333333
3/01/2013,304.6666667
10/01/2013,304
17/01/2013,304
24/01/2013,309
31/01/2013,319
7/02/2013,319
14/02/2013,319
21/02/2013,318
28/02/2013,320
7/03/2013,317
14/03/2013,319
21/03/2013,315
28/03/2013,310
4/04/2013,304
11/04/2013,294
18/04/2013,299
25/04/2013,304
2/05/2013,296
9/05/2013,306
16/05/2013,306
23/05/2013,316
30/05/2013,324
6/06/2013,319
13/06/2013,309
20/06/2013,299
27/06/2013,319
4/07/2013,316
11/07/2013,313
18/07/2013,305
25/07/2013,300
1/08/2013,297
8/08/2013,295
15/08/2013,292
22/08/2013,290
29/08/2013,285
5/09/2013,290
12/09/2013,290
19/09/2013,282
26/09/2013,272
3/10/2013,290
10/10/2013,290
17/10/2013,280
24/10/2013,275
31/10/2013,320
7/11/2013,300
14/11/2013,285
21/11/2013,305
28/11/2013,305
5/12/2013,310
12/12/2013,310
19/12/2013,310
26/12/2013,307.6666667
2/01/2014,305.3333333
9/01/2014,303
16/01/2014,305
23/01/2014,315
30/01/2014,318
6/02/2014,315
13/02/2014,315
20/02/2014,310
27/02/2014,315
6/03/2014,313
13/03/2014,325
20/03/2014,335
27/03/2014,337
3/04/2014,332
10/04/2014,327
17/04/2014,330
24/04/2014,332
1/05/2014,329
8/05/2014,331
15/05/2014,334
22/05/2014,336
29/05/2014,336
5/06/2014,326
12/06/2014,321
19/06/2014,311
26/06/2014,306
3/07/2014,306
10/07/2014,301
17/07/2014,291
24/07/2014,281
31/07/2014,279.5
7/08/2014,278
14/08/2014,288
21/08/2014,283
28/08/2014,291
4/09/2014,286
11/09/2014,284
18/09/2014,284
25/09/2014,281
2/10/2014,276
9/10/2014,271
16/10/2014,276
23/10/2014,280
30/10/2014,285
6/11/2014,292
13/11/2014,299
20/11/2014,309
27/11/2014,306
4/12/2014,306
11/12/2014,306
18/12/2014,305
25/12/2014,306.75
1/01/2015,308.5
8/01/2015,310.25
15/01/2015,312
22/01/2015,310
29/01/2015,301
5/02/2015,299
12/02/2015,299
19/02/2015,299
26/02/2015,297
5/03/2015,293
12/03/2015,289
19/03/2015,291
26/03/2015,297
2/04/2015,297
9/04/2015,301
16/04/2015,301
23/04/2015,297
30/04/2015,299
7/05/2015,296
14/05/2015,293
21/05/2015,293
28/05/2015,289
4/06/2015,295
11/06/2015,298
18/06/2015,302
25/06/2015,297
2/07/2015,302
9/07/2015,312
16/07/2015,317
23/07/2015,316
30/07/2015,304
6/08/2015,304
13/08/2015,299
20/08/2015,291
27/08/2015,291
3/09/2015,281
10/09/2015,279
17/09/2015,277
24/09/2015,278
1/10/2015,278
8/10/2015,280
15/10/2015,285
22/10/2015,288
29/10/2015,288
