Date ,WTFESY,
18/08/2011,244.00,
25/08/2011,241.00,
1/09/2011,241.00,
8/09/2011,253.00,
15/09/2011,245.00,
22/09/2011,245.00,
29/09/2011,238.00,
6/10/2011,230.00,
13/10/2011,232.00,
20/10/2011,235.00,
27/10/2011,228.00,
3/11/2011,231.00,
10/11/2011,228.00,
17/11/2011,228.00,
24/11/2011,223.00,
1/12/2011,218.00,
8/12/2011,208.00,
15/12/2011,195.00,
22/12/2011,,
29/12/2011,,
5/01/2012,,
12/01/2012,212.00,
19/01/2012,213.00,
26/01/2012,213.00,
2/02/2012,210.00,
9/02/2012,212.00,
16/02/2012,217.00,
23/02/2012,214.00,
1/03/2012,210.00,
8/03/2012,210.00,
15/03/2012,208.00,
22/03/2012,,
29/03/2012,210.00,
5/04/2012,210.00,
12/04/2012,209.00,
19/04/2012,209.00,
26/04/2012,210.00,
3/05/2012,212.00,
10/05/2012,215.00,
17/05/2012,217.00,
24/05/2012,235.00,
31/05/2012,229.00,
7/06/2012,240.00,
14/06/2012,255.00,
21/06/2012,252.00,
28/06/2012,260.00,
5/07/2012,275.00,
12/07/2012,275.00,
19/07/2012,285.00,
26/07/2012,310.00,
2/08/2012,290.00,
9/08/2012,305.00,
16/08/2012,300.00,
23/08/2012,302.00,
30/08/2012,302.00,
6/09/2012,312.00,
13/09/2012,307.00,
20/09/2012,310.00,
27/09/2012,312.00,
4/10/2012,,
11/10/2012,302.00,
18/10/2012,302.00,
25/10/2012,296.00,
1/11/2012,312.00,
8/11/2012,309.00,
15/11/2012,309.00,
22/11/2012,302.00,
29/11/2012,304.00,
6/12/2012,309.00,
13/12/2012,312.00,
20/12/2012,306.00,
27/12/2012,,
3/01/2013,,
10/01/2013,304.00,
17/01/2013,304.00,
24/01/2013,309.00,
31/01/2013,319.00,
7/02/2013,319.00,
14/02/2013,319.00,
21/02/2013,318.00,
28/02/2013,320.00,
7/03/2013,317.00,
14/03/2013,319.00,
21/03/2013,315.00,
28/03/2013,310.00,
4/04/2013,304.00,
11/04/2013,294.00,
18/04/2013,299.00,
25/04/2013,304.00,
2/05/2013,296.00,
9/05/2013,306.00,
16/05/2013,306.00,
23/05/2013,316.00,
30/05/2013,324.00,
6/06/2013,319.00,
13/06/2013,309.00,
20/06/2013,299.00,
27/06/2013,319.00,
4/07/2013,316.00,
11/07/2013,313.00,
18/07/2013,305.00,
25/07/2013,300.00,
1/08/2013,297.00,
8/08/2013,295.00,
15/08/2013,292.00,
22/08/2013,290.00,
29/08/2013,285.00,
5/09/2013,290.00,
12/09/2013,290.00,
19/09/2013,282.00,
26/09/2013,272.00,
3/10/2013,290.00,
10/10/2013,290.00,
17/10/2013,280.00,
24/10/2013,275.00,
31/10/2013,320.00,
7/11/2013,300.00,
14/11/2013,285.00,
21/11/2013,305.00,
28/11/2013,305.00,
5/12/2013,310.00,
12/12/2013,310.00,
19/12/2013,310.00,
26/12/2013,,
2/01/2014,,
9/01/2014,303.00,
16/01/2014,305.00,
23/01/2014,315.00,
30/01/2014,318.00,
6/02/2014,315.00,
13/02/2014,315.00,
20/02/2014,310.00,
27/02/2014,315.00,
6/03/2014,313.00,
13/03/2014,325.00,
20/03/2014,335.00,
27/03/2014,337.00,
3/04/2014,332.00,
10/04/2014,327.00,
17/04/2014,330.00,
24/04/2014,332.00,
1/05/2014,329.00,
8/05/2014,331.00,
15/05/2014,334.00,
22/05/2014,336.00,
29/05/2014,336.00,
5/06/2014,326.00,
12/06/2014,321.00,
19/06/2014,311.00,
26/06/2014,306.00,
3/07/2014,306.00,
10/07/2014,301.00,
17/07/2014,291.00,
24/07/2014,281.00,
31/07/2014,,
7/08/2014,278.00,
14/08/2014,288.00,
21/08/2014,283.00,
28/08/2014,291.00,
4/09/2014,286.00,
11/09/2014,284.00,
18/09/2014,284.00,
25/09/2014,281.00,
2/10/2014,276.00,
9/10/2014,271.00,
16/10/2014,276.00,
23/10/2014,280.00,
30/10/2014,285.00,
6/11/2014,292.00,
13/11/2014,299.00,
20/11/2014,309.00,
27/11/2014,306.00,
4/12/2014,306.00,
11/12/2014,306.00,
18/12/2014,305.00,
25/12/2014,,
1/01/2015,,
8/01/2015,,
15/01/2015,312.00,
22/01/2015,310.00,
29/01/2015,301.00,
5/02/2015,299.00,
12/02/2015,299.00,
19/02/2015,299.00,
26/02/2015,297.00,
5/03/2015,,
12/03/2015,289.00,
19/03/2015,291.00,
26/03/2015,297.00,
2/04/2015,297.00,
9/04/2015,301.00,
16/04/2015,301.00,
23/04/2015,297.00,
30/04/2015,299.00,
7/05/2015,296.00,
14/05/2015,293.00,
21/05/2015,293.00,
28/05/2015,289.00,
4/06/2015,295.00,
11/06/2015,298.00,
18/06/2015,302.00,
25/06/2015,297.00,
2/07/2015,302.00,
9/07/2015,312.00,
16/07/2015,317.00,
23/07/2015,316.00,
30/07/2015,304.00,
6/08/2015,304.00,
13/08/2015,299.00,
20/08/2015,291.00,
27/08/2015,291.00,
3/09/2015,281.00,
10/09/2015,279.00,
17/09/2015,277.00,
24/09/2015,278.00,
1/10/2015,278.00,
8/10/2015,280.00,
15/10/2015,285.00,
22/10/2015,288.00,
29/10/2015,288.00,
5/11/2015,288.00,
12/11/2015,300.00,
19/11/2015,293.00,
26/11/2015,293.00,
3/12/2015,290.00,
10/12/2015,285.00,
17/12/2015,285.00,
24/12/2015,,
31/12/2015,,
7/01/2016,,
14/01/2016,282.00,
21/01/2016,279.00,
28/01/2016,279.00,
4/02/2016,280.00,
11/02/2016,275.00,
18/02/2016,275.00,
25/02/2016,270.00,
3/03/2016,268.00,
10/03/2016,256.00,
17/03/2016,256.00,
24/03/2016,256.00,
31/03/2016,,
7/04/2016,,
14/04/2016,261.00,
21/04/2016,259.00,
28/04/2016,259.00,
5/05/2016,259.00,
12/05/2016,262.00,
19/05/2016,265.00,
26/05/2016,265.00,
2/06/2016,265.00,
9/06/2016,268.00,
16/06/2016,273.00,
23/06/2016,275.00,
30/06/2016,267.00,
7/07/2016,261.00,
14/07/2016,261.00,
21/07/2016,251.00,
28/07/2016,248.00,
4/08/2016,,
11/08/2016,241.00,
18/08/2016,236.00,
25/08/2016,231.00,
1/09/2016,231.00,
8/09/2016,231.00,
15/09/2016,231.00,
22/09/2016,231.00,
29/09/2016,236.00,
6/10/2016,241.00,
13/10/2016,246.00,
20/10/2016,251.00,
27/10/2016,251.00,
3/11/2016,251.00,
10/11/2016,249.00,
17/11/2016,249.00,
24/11/2016,239.00,
1/12/2016,,
8/12/2016,224.00,
15/12/2016,219.00,
22/12/2016,,
29/12/2016,,
5/01/2017,,
12/01/2017,219.00,
19/01/2017,214.00,
26/01/2017,209.00,
2/02/2017,204.00,
9/02/2017,199.00,
16/02/2017,204.00,
23/02/2017,207.00,
2/03/2017,206.00,
9/03/2017,211.00,
16/03/2017,211.00,
23/03/2017,211.00,
30/03/2017,211.00,
6/04/2017,206.00,
13/04/2017,206.00,
20/04/2017,211.00,
27/04/2017,216.00,
4/05/2017,216.00,
11/05/2017,216.00,
18/05/2017,219.00,
25/05/2017,219.00,
1/06/2017,235.00,
8/06/2017,239.00,
15/06/2017,240.00,
22/06/2017,250.00,
29/06/2017,255.00,
6/07/2017,,
13/07/2017,283.00,
20/07/2017,280.00,
27/07/2017,275.00,
3/08/2017,270.00,
10/08/2017,,
17/08/2017,,
24/08/2017,237.00,
31/08/2017,232.00,
7/09/2017,242.00,
14/09/2017,257.00,
21/09/2017,248.00,
28/09/2017,273.00,
5/10/2017,273.00,
12/10/2017,273.00,
19/10/2017,273.00,
26/10/2017,258.00,
2/11/2017,258.00,
9/11/2017,258.00,
16/11/2017,253.00,
23/11/2017,253.00,
30/11/2017,258.00,
7/12/2017,268.00,
14/12/2017,263.00,
21/12/2017,253.00,
28/12/2017,,
4/01/2018,,
11/01/2018,249.00,
18/01/2018,,
25/01/2018,253.00,
1/02/2018,253.00,
8/02/2018,258.00,
15/02/2018,270.00,
22/02/2018,270.00,
1/03/2018,275.00,
8/03/2018,278.00,
15/03/2018,278.00,
22/03/2018,278.00,
29/03/2018,278.00,
5/04/2018,278.00,
12/04/2018,280.00,
19/04/2018,300.00,
26/04/2018,300.00,
3/05/2018,310.00,
10/05/2018,315.00,
17/05/2018,315.00,
24/05/2018,376.00,
31/05/2018,375.00,
7/06/2018,375.00,
14/06/2018,375.00,
21/06/2018,375.00,
28/06/2018,375.00,
5/07/2018,375.00,
12/07/2018,365.00,
19/07/2018,375.00,
26/07/2018,375.00,
2/08/2018,,
9/08/2018,380.00,
16/08/2018,420.00,
23/08/2018,430.00,
30/08/2018,430.00,
6/09/2018,430.00,
13/09/2018,430.00,
20/09/2018,430.00,
27/09/2018,430.00,
4/10/2018,435.00,
11/10/2018,455.00,
18/10/2018,455.00,
25/10/2018,455.00,
1/11/2018,455.00,
8/11/2018,455.00,
15/11/2018,440.00,
22/11/2018,440.00,
29/11/2018,440.00,
6/12/2018,440.00,
13/12/2018,440.00,
20/12/2018,440.00,
27/12/2018,,
3/01/2019,,
10/01/2019,445.00,
17/01/2019,440.00,
24/01/2019,440.00,
31/01/2019,,
7/02/2019,,
14/02/2019,435.00,
21/02/2019,435.00,
28/02/2019,420.00,
7/03/2019,400.00,
14/03/2019,435.00,
21/03/2019,405.00,
28/03/2019,405.00,
4/04/2019,402.00,
11/04/2019,402.00,
18/04/2019,392.00,
25/04/2019,392.00,
2/05/2019,392.00,
9/05/2019,375.00,
16/05/2019,365.00,
23/05/2019,365.00,
30/05/2019,380.00,
6/06/2019,400.00,
13/06/2019,380.00,
20/06/2019,380.00,
27/06/2019,380.00,
4/07/2019,380.00,
11/07/2019,380.00,
18/07/2019,370.00,
25/07/2019,350.00,
1/08/2019,350.00,
8/08/2019,350.00,
15/08/2019,365.00,
22/08/2019,365.00,
29/08/2019,365.00,
5/09/2019,365.00,
12/09/2019,365.00,
19/09/2019,375.00,
26/09/2019,375.00,
3/10/2019,375.00,
10/10/2019,390.00,
17/10/2019,385.00,
24/10/2019,,
31/10/2019,380.00,
7/11/2019,370.00,
14/11/2019,,
22/11/2019,380.00,
29/11/2019,380.00,
6/12/2019,380.00,
13/12/2019,390.00,
20/12/2019,420.00,
27/12/2019,,
3/01/2020,,
10/01/2020,430.00,
17/01/2020,430.00,
24/01/2020,430.00,
31/01/2020,430.00,
