,Date,OTH 16-18kg,OTH 18-20kg,OTH 20-22kg,OTH 22-24kg,WTFESY,18-22kg,12-18kg,22+kg,16-22kg,0-18kg,18-24kg
211,31/08/2016,,591.4,600.6,600.6,238.125,617.25,556.75,622.75,532.75,592.5,391.5
212,30/09/2016,,549.75,567,567,232,609.2,594.2,609,559.6,637.2,409.4
213,31/10/2016,,540.6,555.4,556.4,247.25,572,580.5,565.75,525.5,636.25,380.5
214,30/11/2016,,521,537,535.5,247,549.25,567,546.5,527.25,631.25,376
215,31/12/2016,,515.4,524.6,530.3,222.5,530.88,560.64,539.24,506,635.36,373.24
216,31/01/2017,,534.88,549.92,552.56,215.25,587.65,590.2,602.45,541.5,645.05,392.45
217,28/02/2017,,607.5,613.5,613.5,203.5,646.5,623.625,656.875,594.125,694.375,415.75
218,31/03/2017,,621,621,621,210,624,616.8,630,584.2,659.8,418.6
219,30/04/2017,,652.5,652.5,652.5,209.75,663,677.25,654.5,625.5,762.5,498
220,31/05/2017,,640.4,640.4,640.4,217.5,643.625,658.5,634.375,619.625,737.25,510.75
221,30/06/2017,,638,638,638,243.8,654.8,651.8,638,616.8,696,508.8
222,31/07/2017,,594.4,594.4,594.4,276.75,596.5,569,593.25,548.75,615.5,427.25
223,31/08/2017,,600.5,600.5,600.5,249.2,609.8,598.2,597.2,558.8,644.8,423.2
224,30/09/2017,,607.5,607.5,607.5,255,603.25,579,603,543,622.25,406
225,31/10/2017,,606,606,606,269.25,621.75,609.25,618.5,549.5,669.25,414
226,30/11/2017,,634,634,634,256,625.8,627.4,628.4,581,689.6,452.2
227,31/12/2017,,652,652,652,258.9166667,662.1666667,665.3333333,665.25,612.5,732.5,465.25
228,31/01/2018,,654.6,654.6,654.6,250.8333333,638.0833333,633.1666667,645.25,601.75,673.75,422
229,28/02/2018,,623.5,623.5,623.5,262.75,617.75,602.75,626.5,587.5,639.25,401.25
230,31/03/2018,,617.75,617.75,617.75,277.4,611.5,610.25,619.25,591.5,638,427.75
231,30/04/2018,,609.6,609.6,609.6,289.5,585.25,572,588.75,552.75,567,433.5
232,31/05/2018,,602.5,602.5,602.5,338.2,601.6,589,604.2,576.8,577.4,457.2
233,30/06/2018,,630,630,630,375,659.75,632.25,656.75,618.75,549.75,492.25
234,31/07/2018,,717.2,725.4,722.8,372.5,737,666.5,773.5,675,612.5,504.75
235,31/08/2018,,783.75,783.75,783.75,407.5,822.8,693.6,874.2,705.4,623,444.2
236,30/09/2018,,815.25,815.25,815.25,430,799,720,821.75,692,749.25,473
237,31/10/2018,,742,742,742,450,735.25,687.5,744.25,635.5,716.75,447.25
238,30/11/2018,,722.5,722.5,722.5,446,702.8,682,726,617.4,718.8,445
239,31/12/2018,,722.8,725.5,725.5,440.4166667,671.75,650,675.75,604.375,654.75,422.875
240,31/01/2019,,702.75,705,705,441.3333333,655.4,649,646,615,626.2,403.2
241,28/02/2019,,676,676,676,431.6666667,642.75,624.5,642.75,594.25,625,400.5
242,31/03/2019,,648.5,648.5,648.5,411.25,645.5,637.75,639.5,606,628.5,421.75
243,30/04/2019,,687.3,687.3,687.3,397,714.25,709.75,699.75,676.5,724,517.5
244,31/05/2019,,766.75,766.75,766.75,375.4,813.2,789,803.8,767.2,854,564.2
245,30/06/2019,,839.5,839.5,839.5,385,886.25,793.75,908.25,791.5,814,583
246,31/07/2019,,875.4,875.4,875.4,370,942.75,864.25,981.5,862.5,880.25,597.5
247,31/08/2019,,840,840,840,359,841.8,793.6,848.4,765.6,859.2,587.8
248,30/09/2019,,790.8,790.8,790.8,370,822,775.5,824.5,744.5,840,555.5
249,31/10/2019,,783,783,778.5,382.5,801.8,771,800.4,730.2,849.8,575.8
250,30/11/2019,,759.25,759.25,757.75,376.25,749.25,746.25,742,709,788.5,577.25
251,31/12/2019,,721,734,734,403.3333333,729.1666667,735.8333333,727.4166667,680.4166667,725,521.8333333
252,31/01/2020,,695.5,729.75,729.75,429.3333333,754.3333333,758.4166667,738.3333333,719.5833333,778.5,559.9166667
