,Date ,WTFESY,Unnamed: 2
657,11/08/2011,245.0,
658,18/08/2011,244.0,
659,25/08/2011,241.0,
660,1/09/2011,241.0,
661,8/09/2011,253.0,
662,15/09/2011,245.0,
663,22/09/2011,245.0,
664,29/09/2011,238.0,
665,6/10/2011,230.0,
666,13/10/2011,232.0,
667,20/10/2011,235.0,
668,27/10/2011,228.0,
669,3/11/2011,231.0,
670,10/11/2011,228.0,
671,17/11/2011,228.0,
672,24/11/2011,223.0,
673,1/12/2011,218.0,
674,8/12/2011,208.0,
675,15/12/2011,195.0,
676,22/12/2011,199.25,
677,29/12/2011,203.5,
678,5/01/2012,207.75,
679,12/01/2012,212.0,
680,19/01/2012,213.0,
681,26/01/2012,213.0,
682,2/02/2012,210.0,
683,9/02/2012,212.0,
684,16/02/2012,217.0,
685,23/02/2012,214.0,
686,1/03/2012,210.0,
687,8/03/2012,210.0,
688,15/03/2012,208.0,
689,22/03/2012,209.0,
690,29/03/2012,210.0,
691,5/04/2012,210.0,
692,12/04/2012,209.0,
693,19/04/2012,209.0,
694,26/04/2012,210.0,
695,3/05/2012,212.0,
696,10/05/2012,215.0,
697,17/05/2012,217.0,
698,24/05/2012,235.0,
699,31/05/2012,229.0,
700,7/06/2012,240.0,
701,14/06/2012,255.0,
702,21/06/2012,252.0,
703,28/06/2012,260.0,
704,5/07/2012,275.0,
705,12/07/2012,275.0,
706,19/07/2012,285.0,
707,26/07/2012,310.0,
708,2/08/2012,290.0,
709,9/08/2012,305.0,
710,16/08/2012,300.0,
711,23/08/2012,302.0,
712,30/08/2012,302.0,
713,6/09/2012,312.0,
714,13/09/2012,307.0,
715,20/09/2012,310.0,
716,27/09/2012,312.0,
717,4/10/2012,307.0,
718,11/10/2012,302.0,
719,18/10/2012,302.0,
720,25/10/2012,296.0,
721,1/11/2012,312.0,
722,8/11/2012,309.0,
723,15/11/2012,309.0,
724,22/11/2012,302.0,
725,29/11/2012,304.0,
726,6/12/2012,309.0,
727,13/12/2012,312.0,
728,20/12/2012,306.0,
729,27/12/2012,305.3333333333333,
730,3/01/2013,304.6666666666667,
731,10/01/2013,304.0,
732,17/01/2013,304.0,
733,24/01/2013,309.0,
734,31/01/2013,319.0,
735,7/02/2013,319.0,
736,14/02/2013,319.0,
737,21/02/2013,318.0,
738,28/02/2013,320.0,
739,7/03/2013,317.0,
740,14/03/2013,319.0,
741,21/03/2013,315.0,
742,28/03/2013,310.0,
743,4/04/2013,304.0,
744,11/04/2013,294.0,
745,18/04/2013,299.0,
746,25/04/2013,304.0,
747,2/05/2013,296.0,
748,9/05/2013,306.0,
749,16/05/2013,306.0,
750,23/05/2013,316.0,
751,30/05/2013,324.0,
752,6/06/2013,319.0,
753,13/06/2013,309.0,
754,20/06/2013,299.0,
755,27/06/2013,319.0,
756,4/07/2013,316.0,
757,11/07/2013,313.0,
758,18/07/2013,305.0,
759,25/07/2013,300.0,
760,1/08/2013,297.0,
761,8/08/2013,295.0,
762,15/08/2013,292.0,
763,22/08/2013,290.0,
764,29/08/2013,285.0,
765,5/09/2013,290.0,
766,12/09/2013,290.0,
767,19/09/2013,282.0,
768,26/09/2013,272.0,
769,3/10/2013,290.0,
770,10/10/2013,290.0,
771,17/10/2013,280.0,
772,24/10/2013,275.0,
773,31/10/2013,320.0,
774,7/11/2013,300.0,
775,14/11/2013,285.0,
776,21/11/2013,305.0,
777,28/11/2013,305.0,
778,5/12/2013,310.0,
779,12/12/2013,310.0,
780,19/12/2013,310.0,
781,26/12/2013,307.6666666666667,
782,2/01/2014,305.3333333333333,
783,9/01/2014,303.0,
784,16/01/2014,305.0,
785,23/01/2014,315.0,
786,30/01/2014,318.0,
787,6/02/2014,315.0,
788,13/02/2014,315.0,
789,20/02/2014,310.0,
790,27/02/2014,315.0,
791,6/03/2014,313.0,
792,13/03/2014,325.0,
793,20/03/2014,335.0,
794,27/03/2014,337.0,
795,3/04/2014,332.0,
796,10/04/2014,327.0,
797,17/04/2014,330.0,
798,24/04/2014,332.0,
799,1/05/2014,329.0,
800,8/05/2014,331.0,
801,15/05/2014,334.0,
802,22/05/2014,336.0,
803,29/05/2014,336.0,
804,5/06/2014,326.0,
805,12/06/2014,321.0,
806,19/06/2014,311.0,
807,26/06/2014,306.0,
808,3/07/2014,306.0,
809,10/07/2014,301.0,
810,17/07/2014,291.0,
811,24/07/2014,281.0,
812,31/07/2014,279.5,
